session_year,volume_label,pdf_url,verified,size_bytes
1867-68,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1867/1867_68_Index.pdf,,
1869-70,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70.PDF,,
1869-70,Supplement,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_sup.PDF,,
1869-70,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_BR.pdf,,
1869-70,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1869/1869_70_Index.pdf,,
1871-72,Revised,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_Revised.PDF,,
1871-72,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72.PDF,,
1871-72,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_BR.pdf,,
1871-72,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1871/1871_72_Index.pdf,,
1873-74,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes.PDF,yes,57294858
1873-74,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74Code.PDF,,
1873-74,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes_BR.pdf,,
1873-74,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1873/1873_74statutes_Index.pdf,,
1875-76,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76.pdf,,
1875-76,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76_BR.pdf,,
1875-76,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76_Index.pdf,,
1875-76,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1875/1875_76code.PDF,,
1877-78,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1877/1877_78.PDF,,
1877-78,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1877/1877_78_BR.pdf,,
1877-78,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1877/1877_78_Index.pdf,,
1877-78,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1877/1877_78code.PDF,,
1877-78,Code_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1877/1877_78code_Index.pdf,,
1880,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1880/1880.PDF,yes,16532797
1880,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1880/1880_BR.pdf,,
1880,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1880/1880_Index.pdf,,
1880,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1880/1880Code.PDF,,
1881,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1881/1881.PDF,,
1881,Extra,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1881/1881_Extra.PDF,,
1881,TR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1881/1881_TR.pdf,,
1881,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1881/1881_Index.pdf,,
1883-84,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1883/1883Code.pdf,,
1883-84,Code_BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1883/1883Code_BR.pdf,,
1883-84,Code_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1883/1883Code_Index.pdf,,
1883-84,Statutes_1E,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1883/1883_84_1E.pdf,,
1885-86,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1885/1885.pdf,,
1885-86,Code_BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1885/1885_86code_BR.pdf,,
1885-86,Code,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1885/1885_86code_0.PDF,,
1885-86,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1885/1885_Index.pdf,,
1885-86,Code_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1885/1885_86code_Index.pdf,,
1887,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1887/1887.pdf,,
1889,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1889/1889.PDF,,
1889,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1889/1889_BR.pdf,,
1889,Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1889/1889_Index.pdf,,
1891,TOC,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1891/1891toc.pdf,,
1891,Statutes,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1891/1891.PDF,,
1891,BR,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1891/1891_BR.pdf,,
