[2026-06-21 08:39 PT] OK |   ch1340: found pg=398 method=count_from_lo confirmed=False nums=[1339]
[2026-06-21 08:39 PT] OK |   ch1353: found pg=434 method=count_from_lo confirmed=False nums=[1352, 1659, 1659]
[2026-06-21 08:39 PT] OK |   ch1355: found pg=437 method=count_from_lo confirmed=False nums=[1354, 11]
[2026-06-21 08:39 PT] OK |   ch1356: found pg=462 method=count_from_lo confirmed=False nums=[1357]
[2026-06-21 08:39 PT] OK |   ch1364: found pg=528 method=count_from_lo confirmed=False nums=[3, 3, 5]
[2026-06-21 08:39 PT] OK |   ch1372: found pg=571 method=count_from_lo confirmed=False nums=[1369, 1370]
[2026-06-21 08:39 PT] OK |   ch1376: found pg=588 method=count_from_lo confirmed=False nums=[1063, 1375]
[2026-06-21 08:39 PT] OK |   ch1378: found pg=612 method=count_from_lo confirmed=False nums=[1377]
[2026-06-21 08:39 PT] OK |   ch1379: found pg=616 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1381: found pg=623 method=count_from_lo confirmed=False nums=[1380]
[2026-06-21 08:39 PT] OK |   ch1386: found pg=635 method=count_from_lo confirmed=False nums=[1385]
[2026-06-21 08:39 PT] OK |   ch1387: found pg=653 method=count_from_lo confirmed=False nums=[3, 1388]
[2026-06-21 08:39 PT] OK |   ch1389: found pg=653 method=count_from_lo confirmed=False nums=[3, 1388]
[2026-06-21 08:39 PT] OK |   ch1392: found pg=670 method=count_from_lo confirmed=False nums=[1391, 3]
[2026-06-21 08:39 PT] OK |   ch1393: found pg=674 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1401: found pg=701 method=count_from_lo confirmed=False nums=[1399]
[2026-06-21 08:39 PT] OK |   ch1402: found pg=702 method=count_from_lo confirmed=False nums=[1399, 1400]
[2026-06-21 08:39 PT] OK |   ch1404: found pg=708 method=count_from_lo confirmed=False nums=[7, 1403]
[2026-06-21 08:39 PT] OK |   ch1405: found pg=713 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1406: found pg=715 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1407: found pg=736 method=count_from_lo confirmed=False nums=[]
[2026-06-21 08:39 PT] OK |   ch1408: found pg=749 method=count_from_lo confirmed=False nums=[1410]
[2026-06-21 08:39 PT] OK |   ch1409: found pg=750 method=count_from_lo confirmed=False nums=[1410, 1411, 153]
[2026-06-21 08:39 PT] OK |   ch1430: found pg=827 method=count_from_lo confirmed=False nums=[5, 1428]
[2026-06-21 08:39 PT] OK |   ch1432: found pg=832 method=count_from_lo confirmed=False nums=[284, 4, 1431]
[2026-06-21 08:39 PT] OK |   ch1435: found pg=873 method=count_from_lo confirmed=False nums=[1434]
[2026-06-21 08:39 PT] OK |   ch1437: found pg=878 method=count_from_lo confirmed=False nums=[1436]
[2026-06-21 08:39 PT] OK |   ch1438: found pg=886 method=count_from_lo confirmed=False nums=[1440, 5]
[2026-06-21 08:39 PT] OK |   ch1439: found pg=887 method=count_from_lo confirmed=False nums=[1440, 5, 5]
[2026-06-21 08:39 PT] OK |   ch1456: found pg=957 method=count_from_lo confirmed=False nums=[2, 5, 1]
[2026-06-21 08:39 PT] OK |   ch1460: found pg=978 method=count_from_lo confirmed=False nums=[1459, 186]
[2026-06-21 08:39 PT] OK |   ch1462: found pg=978 method=count_from_lo confirmed=False nums=[1459, 186]
[2026-06-21 08:39 PT] OK |   ch1478: found pg=1181 method=count_from_lo confirmed=False nums=[1475, 1476]
[2026-06-21 08:39 PT] OK |   ch1479: found pg=1182 method=count_from_lo confirmed=False nums=[1476, 1477]
[2026-06-21 08:39 PT] OK |   ch1480: found pg=1211 method=count_from_lo confirmed=False nums=[1482]
[2026-06-21 08:39 PT] OK |   ch1481: found pg=1211 method=count_fallback confirmed=False nums=[1482]
[2026-06-21 08:39 PT] OK |   ch1491: found pg=1253 method=count_from_lo confirmed=False nums=[1489]
[2026-06-21 08:39 PT] OK |   ch1498: found pg=1275 method=count_from_lo confirmed=False nums=[1496]
