[2026-06-21 03:38 PT] VISUAL-1905 | Ch 581 (DLXXXI): image_verified OCR p=834 [surya_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 582 (DLXXXII): image_verified OCR p=834 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 594 (DXCIV): image_verified OCR p=841 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Ch 612 (DCXII): image_verified OCR p=865 [doctr_text/strict] | OK
[2026-06-21 03:38 PT] VISUAL-1905 | Output written: C:\PatoLex-scratch\production-1905\parsed_acts_visual.json | OK
[2026-06-21 03:38 PT] VISUAL-1905 | SUMMARY: targeted=50 verified=41 gap=0 not_found=9 | OK
[2026-06-21 03:39 PT] VISUAL-1905 | === CAMPAIGN COMPLETE === | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Total targeted: 50 missing chapters for 1905 | OK
[2026-06-21 03:39 PT] VISUAL-1905 | image_verified: 41 chapters (OCR text or direct image confirmation) | OK
[2026-06-21 03:39 PT] VISUAL-1905 | legislative_gap: 0 chapters | OK
[2026-06-21 03:39 PT] VISUAL-1905 | not_found_needs_reocr: 9 chapters (389-397, scan scrambling confirmed) | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Key finding: 1905 uses ROMAN numerals for chapter headers | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Key finding: Scan pages 546-568 are severely scrambled (printed pp481-518 out of order) | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Key finding: Ch 389-397 absent from scan -- require rescan of printed pp497-519 | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Key finding: Ch 278 OCR missed header; confirmed via image page_0298.png | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Key finding: Ch 571 OCR missed punct; CHAPTER DLXXI confirmed in doctr_text key 812 | OK
[2026-06-21 03:39 PT] VISUAL-1905 | Output: C:/PatoLex-scratch/production-1905/parsed_acts_visual.json | OK
