[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 7800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 8000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 8200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 8400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 8600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 8800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 9000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 9200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 9400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 9600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 9800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 10000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 10200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 10400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 10600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 10800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 11000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 11200 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 11400 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 11600 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 11800 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Progress: 12000 acts done, 0 errors, rate=0.00s/act, elapsed=0.0min | OK
[2026-06-10 14:05 PT] prose-coherence-sweep | Sweep complete: 12100 acts scored, 0 errors, wall=0.00h | OK
[2026-06-10 14:26 PT] prose-coherence-sweep | Sweep started [SMOKE] model=gemma3:27b ollama=http://100.70.54.56:11434 | OK
[2026-06-10 14:29 PT] prose-coherence-sweep | Progress: 200 acts done, 0 errors, rate=1.00s/act, elapsed=3.6min | OK
[2026-06-10 14:29 PT] prose-coherence-sweep | Smoke test complete: 200 acts done | OK
[2026-06-10 14:29 PT] prose-coherence-sweep | Sweep complete: 200 acts scored, 0 errors, wall=0.06h | OK
[2026-06-10 14:29 PT] prose-coherence-sweep | === Per-Volume Score Summary === | OK
[2026-06-10 14:29 PT] prose-coherence-sweep |   1850: n=97 avg=3.51 [3:48 4:49] | OK
[2026-06-10 14:29 PT] prose-coherence-sweep |   1851: n=103 avg=3.78 [3:23 4:80] | OK
