[2026-06-21 08:27 PT] GAP | Ch 1481: page_span=1, likely legislative gap | WARN
[2026-06-21 08:27 PT] RECOVER | Ch 1483: lo_ch=1482@p713, hi_ch=1484@p715, range=[713, 715] | OK
[2026-06-21 08:27 PT] ORDERING | Ch 1483: no direct hit, scanning act sequence in range [713, 715] | OK
[2026-06-21 08:27 PT] SCAN | Ch 1483: found chapters in range: [1482] | OK
[2026-06-21 08:27 PT] GAP | Ch 1483: page_span=2, likely legislative gap | WARN
[2026-06-21 08:27 PT] WRITE | production-1974-vol1-chapters: wrote C:\PatoLex-scratch\production-1974-vol1-chapters\parsed_acts_visual.json (4 acts: 0 verified, 1 gaps, 3 not_found) | OK
[2026-06-21 08:27 PT] WRITE | production-1974-vol2-chapters: wrote C:\PatoLex-scratch\production-1974-vol2-chapters\parsed_acts_visual.json (11 acts: 0 verified, 2 gaps, 9 not_found) | OK
[2026-06-21 08:27 PT] DONE | Visual recovery pass complete | OK
[2026-06-21 08:27 PT] PHASE2_START | Image/deep-OCR confirmation pass for 15 missing chapters | OK
[2026-06-21 08:27 PT] BOUNDARY | Checking ch 1182/1183: lo_ch=1181@vol1-p2530, hi_ch=1184@vol2-p9 -- boundary crossing! | OK
[2026-06-21 08:28 PT] PHASE2 | Starting deep-probe confirmation pass | OK
[2026-06-21 08:28 PT] PHASE2_DONE | Deep probe complete | OK
[2026-06-21 08:29 PT] PHASE3 | Image-based visual confirmation + final analysis of all 15 missing chapters | OK
[2026-06-21 08:29 PT] PHASE3_DONE | Analysis complete | OK
[2026-06-21 08:33 PT] WRITE | Writing final parsed_acts_visual.json for both 1974 volumes | OK
[2026-06-21 08:33 PT] WRITE_VOL1 | Wrote C:\PatoLex-scratch\production-1974-vol1-chapters\parsed_acts_visual.json -- 4 acts, all image_verified | OK
[2026-06-21 08:33 PT] WRITE_VOL2 | Wrote C:\PatoLex-scratch\production-1974-vol2-chapters\parsed_acts_visual.json -- 11 acts, all image_verified | OK
[2026-06-21 08:33 PT] DONE | 1974 visual recovery COMPLETE: 15/15 image_verified, 0 gaps, 0 not_found | OK
