# gpu-monitor (python, per-sample flush) start
2026/06/23 19:02:51.635, 52, 100 %, 146.63 W, 32014 MiB, 32607 MiB
2026/06/23 19:03:06.683, 51, 100 %, 134.80 W, 32014 MiB, 32607 MiB
2026/06/23 19:03:21.731, 51, 100 %, 134.24 W, 32014 MiB, 32607 MiB
2026/06/23 19:03:36.784, 51, 100 %, 133.03 W, 32014 MiB, 32607 MiB
2026/06/23 19:03:51.835, 52, 100 %, 145.48 W, 32014 MiB, 32607 MiB
2026/06/23 19:04:06.874, 51, 100 %, 138.51 W, 32014 MiB, 32607 MiB
2026/06/23 19:04:21.913, 51, 100 %, 132.81 W, 32014 MiB, 32607 MiB
2026/06/23 19:04:36.953, 51, 100 %, 131.74 W, 32014 MiB, 32607 MiB
2026/06/23 19:04:51.992, 51, 100 %, 134.51 W, 32014 MiB, 32607 MiB
2026/06/23 19:05:07.030, 52, 100 %, 133.69 W, 32014 MiB, 32607 MiB
2026/06/23 19:05:22.079, 51, 100 %, 133.60 W, 32014 MiB, 32607 MiB
2026/06/23 19:05:37.123, 52, 100 %, 135.38 W, 32014 MiB, 32607 MiB
2026/06/23 19:05:52.173, 52, 100 %, 145.83 W, 32014 MiB, 32607 MiB
2026/06/23 19:06:07.217, 51, 100 %, 136.67 W, 32014 MiB, 32607 MiB
2026/06/23 19:06:22.260, 52, 100 %, 133.20 W, 32014 MiB, 32607 MiB
2026/06/23 19:06:37.303, 52, 100 %, 127.11 W, 32014 MiB, 32607 MiB
2026/06/23 19:06:52.349, 52, 100 %, 144.85 W, 32014 MiB, 32607 MiB
2026/06/23 19:07:07.397, 58, 95 %, 343.40 W, 32014 MiB, 32607 MiB
2026/06/23 19:07:22.437, 51, 100 %, 145.90 W, 32014 MiB, 32607 MiB
2026/06/23 19:07:37.490, 51, 100 %, 135.67 W, 32014 MiB, 32607 MiB
2026/06/23 19:07:52.538, 51, 100 %, 132.84 W, 32014 MiB, 32607 MiB
2026/06/23 19:08:07.585, 51, 100 %, 131.14 W, 32014 MiB, 32607 MiB
2026/06/23 19:08:22.624, 51, 100 %, 143.45 W, 32014 MiB, 32607 MiB
2026/06/23 19:08:37.661, 51, 100 %, 138.32 W, 32014 MiB, 32607 MiB
2026/06/23 19:08:52.712, 51, 100 %, 132.53 W, 32014 MiB, 32607 MiB
2026/06/23 19:09:07.754, 51, 100 %, 131.83 W, 32014 MiB, 32607 MiB
2026/06/23 19:09:22.808, 51, 100 %, 131.53 W, 32014 MiB, 32607 MiB
2026/06/23 19:09:37.859, 51, 100 %, 131.01 W, 32014 MiB, 32607 MiB
2026/06/23 19:09:52.913, 51, 100 %, 137.23 W, 32014 MiB, 32607 MiB
2026/06/23 19:10:07.954, 51, 100 %, 145.52 W, 32014 MiB, 32607 MiB
2026/06/23 19:10:23.006, 51, 100 %, 135.67 W, 32014 MiB, 32607 MiB
2026/06/23 19:10:38.043, 51, 100 %, 131.32 W, 32014 MiB, 32607 MiB
2026/06/23 19:10:53.092, 51, 100 %, 134.14 W, 32014 MiB, 32607 MiB
2026/06/23 19:11:08.135, 51, 100 %, 146.62 W, 32014 MiB, 32607 MiB
2026/06/23 19:11:23.180, 51, 100 %, 136.45 W, 32014 MiB, 32607 MiB
2026/06/23 19:11:38.231, 51, 100 %, 147.18 W, 32014 MiB, 32607 MiB
2026/06/23 19:11:53.270, 51, 100 %, 135.71 W, 32014 MiB, 32607 MiB
2026/06/23 19:12:08.312, 51, 100 %, 133.85 W, 32014 MiB, 32607 MiB
2026/06/23 19:12:23.352, 51, 100 %, 129.70 W, 32014 MiB, 32607 MiB
2026/06/23 19:12:38.392, 51, 100 %, 145.12 W, 32014 MiB, 32607 MiB
2026/06/23 19:12:53.442, 51, 100 %, 138.43 W, 32014 MiB, 32607 MiB
2026/06/23 19:13:08.490, 51, 100 %, 132.67 W, 32014 MiB, 32607 MiB
2026/06/23 19:13:23.534, 50, 100 %, 131.37 W, 32014 MiB, 32607 MiB
2026/06/23 19:13:38.576, 51, 100 %, 133.77 W, 32014 MiB, 32607 MiB
2026/06/23 19:13:53.616, 51, 100 %, 126.55 W, 32014 MiB, 32607 MiB
2026/06/23 19:14:08.665, 51, 100 %, 146.02 W, 32014 MiB, 32607 MiB
2026/06/23 19:14:23.703, 51, 100 %, 146.33 W, 32014 MiB, 32607 MiB
2026/06/23 19:14:38.758, 51, 100 %, 131.07 W, 32014 MiB, 32607 MiB
2026/06/23 19:14:53.805, 51, 100 %, 130.17 W, 32014 MiB, 32607 MiB
2026/06/23 19:15:08.842, 51, 100 %, 133.02 W, 32014 MiB, 32607 MiB
2026/06/23 19:15:23.888, 51, 100 %, 145.30 W, 32014 MiB, 32607 MiB
2026/06/23 19:15:38.938, 51, 100 %, 145.16 W, 32014 MiB, 32607 MiB
2026/06/23 19:15:53.978, 51, 100 %, 135.74 W, 32014 MiB, 32607 MiB
2026/06/23 19:16:09.022, 52, 100 %, 145.91 W, 32014 MiB, 32607 MiB
2026/06/23 19:16:24.074, 51, 100 %, 146.84 W, 32014 MiB, 32607 MiB
2026/06/23 19:16:39.117, 51, 100 %, 136.91 W, 32014 MiB, 32607 MiB
2026/06/23 19:16:54.161, 51, 100 %, 133.52 W, 32014 MiB, 32607 MiB
2026/06/23 19:17:09.214, 51, 100 %, 133.39 W, 32014 MiB, 32607 MiB
2026/06/23 19:17:24.255, 51, 100 %, 127.29 W, 32014 MiB, 32607 MiB
2026/06/23 19:17:39.300, 51, 100 %, 134.59 W, 32014 MiB, 32607 MiB
2026/06/23 19:17:54.354, 51, 100 %, 147.43 W, 32014 MiB, 32607 MiB
2026/06/23 19:18:09.405, 47, 0 %, 18.76 W, 889 MiB, 32607 MiB
2026/06/23 19:18:24.448, 45, 0 %, 18.76 W, 889 MiB, 32607 MiB
2026/06/23 19:18:39.505, 44, 1 %, 18.77 W, 889 MiB, 32607 MiB
2026/06/23 19:18:54.554, 43, 0 %, 17.44 W, 889 MiB, 32607 MiB
2026/06/23 19:19:09.596, 42, 0 %, 17.70 W, 889 MiB, 32607 MiB
2026/06/23 19:19:24.652, 42, 0 %, 17.73 W, 17140 MiB, 32607 MiB
2026/06/23 19:19:39.694, 53, 57 %, 365.02 W, 21258 MiB, 32607 MiB
2026/06/23 19:19:54.745, 57, 61 %, 334.71 W, 21258 MiB, 32607 MiB
2026/06/23 19:20:09.785, 62, 89 %, 328.19 W, 21258 MiB, 32607 MiB
2026/06/23 19:20:24.833, 68, 100 %, 392.62 W, 21726 MiB, 32607 MiB
2026/06/23 19:20:39.870, 64, 22 %, 337.34 W, 18328 MiB, 32607 MiB
2026/06/23 19:20:54.914, 70, 100 %, 410.29 W, 21726 MiB, 32607 MiB
2026/06/23 19:21:09.963, 73, 100 %, 356.59 W, 21726 MiB, 32607 MiB
2026/06/23 19:21:25.003, 64, 18 %, 376.50 W, 18328 MiB, 32607 MiB
2026/06/23 19:21:40.054, 69, 79 %, 507.86 W, 21726 MiB, 32607 MiB
2026/06/23 19:21:55.106, 68, 78 %, 507.73 W, 21726 MiB, 32607 MiB
2026/06/23 19:22:10.155, 68, 78 %, 385.87 W, 21726 MiB, 32607 MiB
2026/06/23 19:22:25.198, 72, 100 %, 510.74 W, 21726 MiB, 32607 MiB
2026/06/23 19:22:40.244, 69, 78 %, 505.98 W, 21726 MiB, 32607 MiB
2026/06/23 19:22:55.294, 73, 100 %, 403.17 W, 21726 MiB, 32607 MiB
2026/06/23 19:23:10.333, 68, 77 %, 398.54 W, 21726 MiB, 32607 MiB
2026/06/23 19:23:25.378, 74, 100 %, 447.82 W, 21726 MiB, 32607 MiB
2026/06/23 19:23:40.427, 73, 100 %, 410.76 W, 21726 MiB, 32607 MiB
2026/06/23 19:23:55.465, 68, 76 %, 456.16 W, 21726 MiB, 32607 MiB
2026/06/23 19:24:10.508, 64, 1 %, 404.56 W, 21348 MiB, 32607 MiB
2026/06/23 19:24:25.544, 67, 58 %, 400.70 W, 21348 MiB, 32607 MiB
2026/06/23 19:24:40.582, 72, 100 %, 494.70 W, 21348 MiB, 32607 MiB
2026/06/23 19:24:55.627, 71, 99 %, 342.31 W, 21348 MiB, 32607 MiB
2026/06/23 19:25:10.673, 71, 100 %, 399.20 W, 21348 MiB, 32607 MiB
2026/06/23 19:25:25.726, 68, 76 %, 409.09 W, 21348 MiB, 32607 MiB
2026/06/23 19:25:40.768, 68, 78 %, 496.72 W, 21348 MiB, 32607 MiB
2026/06/23 19:25:55.807, 73, 100 %, 392.65 W, 21348 MiB, 32607 MiB
2026/06/23 19:26:10.846, 67, 89 %, 351.90 W, 21348 MiB, 32607 MiB
2026/06/23 19:26:25.888, 68, 78 %, 388.89 W, 21348 MiB, 32607 MiB
2026/06/23 19:26:40.931, 68, 79 %, 396.64 W, 17302 MiB, 32607 MiB
2026/06/23 19:26:55.981, 68, 79 %, 424.31 W, 21838 MiB, 32607 MiB
2026/06/23 19:27:11.020, 70, 83 %, 347.83 W, 21838 MiB, 32607 MiB
2026/06/23 19:27:26.067, 70, 99 %, 354.05 W, 21838 MiB, 32607 MiB
2026/06/23 19:27:41.105, 65, 9 %, 441.50 W, 21838 MiB, 32607 MiB
2026/06/23 19:27:56.145, 64, 36 %, 423.22 W, 21838 MiB, 32607 MiB
2026/06/23 19:28:11.189, 68, 80 %, 469.53 W, 21838 MiB, 32607 MiB
2026/06/23 19:28:26.226, 69, 75 %, 505.87 W, 21838 MiB, 32607 MiB
2026/06/23 19:28:41.277, 68, 79 %, 455.68 W, 21838 MiB, 32607 MiB
2026/06/23 19:28:56.323, 68, 77 %, 394.69 W, 17368 MiB, 32607 MiB
2026/06/23 19:29:11.373, 68, 80 %, 508.30 W, 21726 MiB, 32607 MiB
2026/06/23 19:29:26.421, 68, 87 %, 348.57 W, 21726 MiB, 32607 MiB
2026/06/23 19:29:41.459, 71, 91 %, 349.90 W, 21838 MiB, 32607 MiB
2026/06/23 19:29:56.497, 55, 0 %, 22.25 W, 889 MiB, 32607 MiB
2026/06/23 19:30:11.539, 52, 0 %, 20.25 W, 889 MiB, 32607 MiB
2026/06/23 19:30:26.583, 50, 0 %, 19.41 W, 889 MiB, 32607 MiB
2026/06/23 19:30:41.625, 49, 0 %, 18.73 W, 889 MiB, 32607 MiB
2026/06/23 19:30:56.668, 47, 1 %, 18.96 W, 889 MiB, 32607 MiB
2026/06/23 19:31:11.725, 46, 1 %, 19.21 W, 889 MiB, 32607 MiB
2026/06/23 19:31:26.773, 44, 0 %, 18.04 W, 889 MiB, 32607 MiB
2026/06/23 19:31:41.821, 43, 0 %, 17.48 W, 889 MiB, 32607 MiB
2026/06/23 19:31:56.869, 42, 0 %, 17.44 W, 889 MiB, 32607 MiB
2026/06/23 19:32:11.910, 42, 1 %, 17.58 W, 889 MiB, 32607 MiB
2026/06/23 19:32:26.957, 41, 4 %, 17.62 W, 889 MiB, 32607 MiB
2026/06/23 19:32:42.003, 41, 0 %, 16.66 W, 889 MiB, 32607 MiB
2026/06/23 19:32:57.057, 40, 0 %, 17.11 W, 889 MiB, 32607 MiB
2026/06/23 19:33:12.098, 40, 0 %, 17.68 W, 889 MiB, 32607 MiB
2026/06/23 19:33:27.139, 39, 0 %, 17.42 W, 889 MiB, 32607 MiB
2026/06/23 19:33:42.177, 39, 1 %, 17.38 W, 896 MiB, 32607 MiB
2026/06/23 19:33:57.214, 38, 0 %, 17.47 W, 896 MiB, 32607 MiB
2026/06/23 19:34:12.255, 38, 0 %, 16.86 W, 896 MiB, 32607 MiB
2026/06/23 19:34:27.294, 38, 0 %, 16.43 W, 896 MiB, 32607 MiB
2026/06/23 19:34:42.333, 38, 0 %, 17.20 W, 896 MiB, 32607 MiB
2026/06/23 19:34:57.375, 37, 0 %, 16.49 W, 896 MiB, 32607 MiB
