[2026-06-23 22:37 PT] PAGE-AUDIT | production-1855: 15 missing pp in 2 gap(s) -> 10-18(9); 114-119(6) (324p; read=0.892) 10s | WARN
[2026-06-23 22:37 PT] PAGE-AUDIT | production-1856: NOT AUDITABLE (low_support; 239p; read=0.879) 7s | WARN
[2026-06-23 22:37 PT] PAGE-AUDIT | production-1857: NOT AUDITABLE (low_support; 394p; read=0.822) 12s | WARN
[2026-06-23 22:37 PT] PAGE-AUDIT | production-1858: clean, 0 gaps (386p; read=0.951) 12s | OK
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1859: NOT AUDITABLE (low_support; 427p; read=0.899) 14s | WARN
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1860: 33 missing pp in 1 gap(s) -> 12-44(33) (453p; read=0.854) 16s | WARN
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1861: clean, 0 gaps (730p; read=0.941) 9s | OK
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1862: clean, 0 gaps (660p; read=0.886) 6s | OK
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1863: clean, 0 gaps (863p; read=0.937) 9s | OK
[2026-06-23 22:38 PT] PAGE-AUDIT | production-1863-64: clean, 0 gaps (644p; read=0.893) 7s | OK
[2026-06-23 22:40 PT] PAGE-AUDIT | START scope=1853 volumes=1 workers=14 tess=tesseract.exe | OK
[2026-06-23 22:41 PT] PAGE-AUDIT | production-1853: NOT AUDITABLE (low_support; 318p; read=0.899) 11s | WARN
[2026-06-23 22:41 PT] PAGE-AUDIT | DONE scope=1853: 0 missing pp across 0 vols; 1 vols NOT AUDITABLE; 1 total; 11s | OK
[2026-06-23 22:41 PT] PAGE-AUDIT | START scope=1860 volumes=1 workers=14 tess=tesseract.exe | OK
[2026-06-23 22:41 PT] PAGE-AUDIT | production-1860: NOT AUDITABLE (low_support; 453p; read=0.854) 16s | WARN
[2026-06-23 22:41 PT] PAGE-AUDIT | DONE scope=1860: 0 missing pp across 0 vols; 1 vols NOT AUDITABLE; 1 total; 16s | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | START scope=1855 volumes=1 workers=14 tess=tesseract.exe | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | production-1855: NOT AUDITABLE (low_support; 324p; read=0.892) 10s | WARN
[2026-06-23 22:45 PT] PAGE-AUDIT | DONE scope=1855: 0 missing pp across 0 vols; 1 vols NOT AUDITABLE; 1 total; 10s | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | START scope=1850 volumes=1 workers=14 tess=tesseract.exe | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | production-1850: clean, 0 gaps (480p; read=0.935) 22s | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | DONE scope=1850: 0 missing pp across 0 vols; 0 vols NOT AUDITABLE; 1 total; 22s | OK
[2026-06-23 22:45 PT] PAGE-AUDIT | START scope=all volumes=225 workers=16 tess=tesseract.exe | OK
[2026-06-23 22:46 PT] PAGE-AUDIT | production-1850: clean, 0 gaps (480p; read=0.935) 20s | OK
[2026-06-23 22:46 PT] PAGE-AUDIT | production-1851: clean, 0 gaps (545p; read=0.87) 14s | OK
[2026-06-23 22:46 PT] PAGE-AUDIT | production-1852: NOT AUDITABLE (low_support; 288p; read=0.858) 9s | WARN
[2026-06-23 22:46 PT] PAGE-AUDIT | production-1853: NOT AUDITABLE (low_support; 318p; read=0.899) 10s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1854: NOT AUDITABLE (low_support; 230p; read=0.796) 8s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1855: NOT AUDITABLE (low_support; 324p; read=0.892) 10s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1856: NOT AUDITABLE (low_support; 239p; read=0.879) 7s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1857: NOT AUDITABLE (low_support; 394p; read=0.822) 11s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1858: NOT AUDITABLE (low_support; 386p; read=0.951) 12s | WARN
[2026-06-23 22:47 PT] PAGE-AUDIT | production-1859: NOT AUDITABLE (low_support; 427p; read=0.899) 14s | WARN
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1860: NOT AUDITABLE (low_support; 453p; read=0.854) 15s | WARN
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1861: clean, 0 gaps (730p; read=0.941) 8s | OK
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1862: clean, 0 gaps (660p; read=0.886) 6s | OK
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1863: clean, 0 gaps (863p; read=0.937) 9s | OK
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1863-64: clean, 0 gaps (644p; read=0.893) 7s | OK
[2026-06-23 22:48 PT] PAGE-AUDIT | production-1865-66: clean, 0 gaps (999p; read=0.92) 12s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1867-68: clean, 0 gaps (828p; read=0.921) 8s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1869-70: clean, 0 gaps (1027p; read=0.93) 9s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1871-72: 10 missing pp in 4 gap(s) -> 131-134(4); 515-516(2); 586-587(2); 776-777(2) (1064p; read=0.918) 11s | WARN
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1873-74: clean, 0 gaps (1086p; read=0.909) 12s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1873-74-code: clean, 0 gaps (511p; read=0.918) 5s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1875-76: clean, 0 gaps (1025p; read=0.932) 12s | OK
[2026-06-23 22:49 PT] PAGE-AUDIT | production-1875-76-code: clean, 0 gaps (136p; read=0.787) 2s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1877-78: clean, 0 gaps (1153p; read=0.854) 10s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1877-78-code: clean, 0 gaps (134p; read=0.731) 2s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1880: clean, 0 gaps (300p; read=0.807) 3s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1880-code: clean, 0 gaps (364p; read=0.816) 4s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1881: clean, 0 gaps (151p; read=0.464) 2s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1883-84: NOT AUDITABLE (low_support; 15p; read=0.533) 1s | WARN
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1883-84-regular: NOT AUDITABLE (no_page_images; 0p; read=None) 0s | WARN
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1885-86: clean, 0 gaps (294p; read=0.83) 3s | OK
[2026-06-23 22:50 PT] PAGE-AUDIT | production-1887: clean, 0 gaps (306p; read=0.781) 3s | OK
