token	freq	tier	prior_category
encinita	10	high_freq	NAMELIKE
erreca	10	high_freq	NAMELIKE
fleishhacker	10	high_freq	NAMELIKE
helding	10	high_freq	TYPO
hillegass	10	high_freq	NAMELIKE
lamanda	10	high_freq	TYPO
marily	10	high_freq	TYPO
michillinda	10	high_freq	NAMELIKE
perent	10	high_freq	TYPO
preter	10	high_freq	TYPO
rosemon	10	high_freq	TYPO
sequit	10	high_freq	TYPO
vider	10	high_freq	TYPO
amenge	9	low_freq	TYPO
argabrite	9	low_freq	NAMELIKE
barl	9	low_freq	TYPO
baylands	9	low_freq	TYPO
calion	9	low_freq	TYPO
cavness	9	low_freq	NAMELIKE
chargos	9	low_freq	TYPO
conty	9	low_freq	TYPO
corneil	9	low_freq	TYPO
cown	9	low_freq	TYPO
deily	9	low_freq	TYPO
eiven	9	low_freq	TYPO
erene	9	low_freq	TYPO
fants	9	low_freq	TYPO
fotia	9	low_freq	TYPO
gitts	9	low_freq	TYPO
grawn	9	low_freq	TYPO
heryford	9	low_freq	TYPO
idence	9	low_freq	FRAGMENT
jent	9	low_freq	TYPO
kisling	9	low_freq	TYPO
knightsen	9	low_freq	NAMELIKE
kuskov	9	low_freq	NAMELIKE
lanare	9	low_freq	TYPO
laugharn	9	low_freq	NAMELIKE
mamer	9	low_freq	TYPO
mecical	9	low_freq	TYPO
megal	9	low_freq	TYPO
natonal	9	low_freq	TYPO
nubieber	9	low_freq	NAMELIKE
odies	9	low_freq	TYPO
pisce	9	low_freq	TYPO
polsley	9	low_freq	NAMELIKE
pulice	9	low_freq	TYPO
purissima	9	low_freq	NAMELIKE
pursel	9	low_freq	TYPO
reene	9	low_freq	TYPO
seccion	9	low_freq	TYPO
spadra	9	low_freq	NAMELIKE
stevenot	9	low_freq	NAMELIKE
stoakes	9	low_freq	TYPO
tijera	9	low_freq	NAMELIKE
turee	9	low_freq	TYPO
uding	9	low_freq	TYPO
wken	9	low_freq	TYPO
yonkin	9	low_freq	TYPO
aleda	8	low_freq	TYPO
allardt	8	low_freq	TYPO
arroya	8	low_freq	TYPO
bante	8	low_freq	TYPO
belony	8	low_freq	TYPO
bollibokka	8	low_freq	NAMELIKE
brance	8	low_freq	TYPO
burre	8	low_freq	TYPO
burvey	8	low_freq	TYPO
casmalia	8	low_freq	NAMELIKE
chiriaco	8	low_freq	NAMELIKE
cleri	8	low_freq	TYPO
clura	8	low_freq	TYPO
conservaton	8	low_freq	TYPO
covarubias	8	low_freq	NAMELIKE
demund	8	low_freq	TYPO
deuth	8	low_freq	TYPO
dufficy	8	low_freq	NAMELIKE
duits	8	low_freq	TYPO
dumke	8	low_freq	TYPO
dwinelle	8	low_freq	NAMELIKE
eaen	8	low_freq	TYPO
emia	8	low_freq	TYPO
francise	8	low_freq	TYPO
freyermuth	8	low_freq	NAMELIKE
fykes	8	low_freq	TYPO
gibaldi	8	low_freq	NAMELIKE
goard	8	low_freq	TYPO
guinda	8	low_freq	TYPO
hegland	8	low_freq	NAMELIKE
hegy	8	low_freq	TYPO
heur	8	low_freq	TYPO
houte	8	low_freq	TYPO
kinzli	8	low_freq	NAMELIKE
koep	8	low_freq	TYPO
kossen	8	low_freq	NAMELIKE
laake	8	low_freq	TYPO
marshai	8	low_freq	TYPO
mcdanel	8	low_freq	TYPO
minicipal	8	low_freq	TYPO
naire	8	low_freq	TYPO
namos	8	low_freq	TYPO
naufus	8	low_freq	NAMELIKE
nolina	8	low_freq	TYPO
nudel	8	low_freq	TYPO
olrich	8	low_freq	TYPO
onice	8	low_freq	TYPO
oree	8	low_freq	TYPO
osit	8	low_freq	TYPO
pable	8	low_freq	TYPO
penee	8	low_freq	TYPO
pomerado	8	low_freq	NAMELIKE
prisor	8	low_freq	TYPO
purk	8	low_freq	TYPO
purks	8	low_freq	TYPO
replat	8	low_freq	TYPO
retes	8	low_freq	TYPO
roate	8	low_freq	TYPO
satus	8	low_freq	TYPO
servie	8	low_freq	TYPO
sinele	8	low_freq	TYPO
tehachapis	8	low_freq	NAMELIKE
teon	8	low_freq	TYPO
terminous	8	low_freq	TYPO
theren	8	low_freq	TYPO
tocaloma	8	low_freq	NAMELIKE
tomki	8	low_freq	TYPO
tury	8	low_freq	TYPO
ulatis	8	low_freq	NAMELIKE
venard	8	low_freq	TYPO
wozencraft	8	low_freq	NAMELIKE
yuha	8	low_freq	TYPO
yurk	8	low_freq	TYPO
aeree	7	low_freq	TYPO
albinger	7	low_freq	NAMELIKE
annuel	7	low_freq	TYPO
artice	7	low_freq	TYPO
atler	7	low_freq	TYPO
avor	7	low_freq	TYPO
buman	7	low_freq	TYPO
cooledge	7	low_freq	TYPO
covill	7	low_freq	TYPO
daries	7	low_freq	TYPO
dierssen	7	low_freq	NAMELIKE
eding	7	low_freq	TYPO
fread	7	low_freq	TYPO
gadwell	7	low_freq	TYPO
gallegly	7	low_freq	NAMELIKE
garvanza	7	low_freq	NAMELIKE
gerk	7	low_freq	TYPO
glenard	7	low_freq	NAMELIKE
greuter	7	low_freq	TYPO
gunty	7	low_freq	TYPO
hiett	7	low_freq	NAMELIKE
hoats	7	low_freq	TYPO
hollenhorst	7	low_freq	NAMELIKE
juaquin	7	low_freq	TYPO
lagios	7	low_freq	TYPO
leverette	7	low_freq	NAMELIKE
lompico	7	low_freq	NAMELIKE
malaikah	7	low_freq	NAMELIKE
malpaso	7	low_freq	NAMELIKE
mansy	7	low_freq	TYPO
manwell	7	low_freq	TYPO
maxxam	7	low_freq	NAMELIKE
mcclaskey	7	low_freq	TYPO
mcelheney	7	low_freq	NAMELIKE
mckinster	7	low_freq	NAMELIKE
megee	7	low_freq	TYPO
millien	7	low_freq	TYPO
monner	7	low_freq	TYPO
moreys	7	low_freq	TYPO
munber	7	low_freq	TYPO
paner	7	low_freq	TYPO
protem	7	low_freq	NAMELIKE
publice	7	low_freq	TYPO
purcel	7	low_freq	TYPO
registe	7	low_freq	TYPO
rolufs	7	low_freq	NAMELIKE
roum	7	low_freq	TYPO
rron	7	low_freq	TYPO
ruie	7	low_freq	TYPO
seevee	7	low_freq	TYPO
stady	7	low_freq	TYPO
sutt	7	low_freq	TYPO
taley	7	low_freq	TYPO
tenaja	7	low_freq	NAMELIKE
tolay	7	low_freq	TYPO
tsurai	7	low_freq	NAMELIKE
ucross	7	low_freq	TYPO
vallambrosa	7	low_freq	NAMELIKE
veats	7	low_freq	TYPO
weex	7	low_freq	TYPO
westbay	7	low_freq	NAMELIKE
wilseyville	7	low_freq	NAMELIKE
womer	7	low_freq	TYPO
xum	7	low_freq	TYPO
zeto	7	low_freq	TYPO
abdelnour	6	low_freq	NAMELIKE
acty	6	low_freq	TYPO
advalorem	6	low_freq	NAMELIKE
anaum	6	low_freq	TYPO
annur	6	low_freq	TYPO
areus	6	low_freq	TYPO
bagdouma	6	low_freq	NAMELIKE
bect	6	low_freq	TYPO
bosland	6	low_freq	TYPO
branza	6	low_freq	NAMELIKE
briceland	6	low_freq	NAMELIKE
broderson	6	low_freq	NAMELIKE
brusie	6	low_freq	TYPO
bulen	6	low_freq	TYPO
cairy	6	low_freq	TYPO
calwa	6	low_freq	TYPO
cantua	6	low_freq	TYPO
chimiles	6	low_freq	NAMELIKE
ciin	6	low_freq	TYPO
clief	6	low_freq	TYPO
coglan	6	low_freq	NAMELIKE
conibear	6	low_freq	NAMELIKE
cordua	6	low_freq	NAMELIKE
corralitos	6	low_freq	NAMELIKE
cressa	6	low_freq	TYPO
croskey	6	low_freq	NAMELIKE
cutri	6	low_freq	NAMELIKE
denee	6	low_freq	TYPO
dinsmores	6	low_freq	NAMELIKE
dowda	6	low_freq	TYPO
elce	6	low_freq	TYPO
eney	6	low_freq	TYPO
enil	6	low_freq	TYPO
ennen	6	low_freq	NAMELIKE
erial	6	low_freq	TYPO
ervey	6	low_freq	TYPO
faciity	6	low_freq	TYPO
garoutte	6	low_freq	NAMELIKE
gelwicks	6	low_freq	NAMELIKE
gierk	6	low_freq	NAMELIKE
guejito	6	low_freq	NAMELIKE
harges	6	low_freq	TYPO
heang	6	low_freq	TYPO
hghts	6	low_freq	GARBLE
hichborn	6	low_freq	NAMELIKE
hieatt	6	low_freq	NAMELIKE
indea	6	low_freq	TYPO
isand	6	low_freq	TYPO
jomes	6	low_freq	TYPO
keeny	6	low_freq	TYPO
kellems	6	low_freq	NAMELIKE
kevt	6	low_freq	TYPO
leeat	6	low_freq	NAMELIKE
lobue	6	low_freq	TYPO
locey	6	low_freq	TYPO
lofthus	6	low_freq	TYPO
lollars	6	low_freq	TYPO
lomitas	6	low_freq	NAMELIKE
lorbeer	6	low_freq	NAMELIKE
menager	6	low_freq	TYPO
merket	6	low_freq	TYPO
metam	6	low_freq	TYPO
mowday	6	low_freq	TYPO
mury	6	low_freq	TYPO
nayor	6	low_freq	TYPO
ngeles	6	low_freq	TYPO
opy	6	low_freq	TYPO
otmer	6	low_freq	TYPO
ovee	6	low_freq	TYPO
pasajero	6	low_freq	NAMELIKE
pature	6	low_freq	TYPO
pishon	6	low_freq	TYPO
placey	6	low_freq	TYPO
plams	6	low_freq	TYPO
poad	6	low_freq	TYPO
powes	6	low_freq	TYPO
quall	6	low_freq	TYPO
radanovich	6	low_freq	NAMELIKE
rious	6	low_freq	TYPO
salsman	6	low_freq	TYPO
sarvey	6	low_freq	TYPO
saucito	6	low_freq	NAMELIKE
scollan	6	low_freq	NAMELIKE
seese	6	low_freq	TYPO
selis	6	low_freq	TYPO
sengers	6	low_freq	TYPO
siek	6	low_freq	TYPO
somis	6	low_freq	TYPO
sooy	6	low_freq	TYPO
stys	6	low_freq	TYPO
sulter	6	low_freq	TYPO
sumers	6	low_freq	TYPO
tallac	6	low_freq	NAMELIKE
tideline	6	low_freq	TYPO
touchard	6	low_freq	TYPO
townsh	6	low_freq	TYPO
trevel	6	low_freq	TYPO
tumber	6	low_freq	TYPO
tuty	6	low_freq	TYPO
uyon	6	low_freq	TYPO
valicity	6	low_freq	TYPO
vartabedian	6	low_freq	NAMELIKE
veason	6	low_freq	TYPO
veral	6	low_freq	TYPO
visitacion	6	low_freq	TYPO
waughop	6	low_freq	NAMELIKE
