[2026-06-02 START] INIT | Bring 5080 online as 2nd-GPU OCR worker on shared forward queue (vols 1862-1875) | OK
[2026-06-02 19:19 PT] WORKER | === 5080 queue worker online (pid 44604, worker_id=5080-2) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-02 19:19 PT] RUN | 1915-vol1-chapters: START local OCR (1915_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-02 20:24 PT] PUSH | 1919-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-02 20:24 PT] RUN | 1919-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 20:24 PT] RUN | 1913-statutes: START local OCR (1913_Statutes.pdf) on 5080 | OK
[2026-06-02 23:29 PT] PUSH | 1913-statutes: OCR outputs pushed to 5090 | OK
[2026-06-02 23:29 PT] RUN | 1913-statutes: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-02 23:29 PT] RUN | 1933-vol1-chapters: START local OCR (1933_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 03:42 PT] PUSH | 1933-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 03:42 PT] RUN | 1933-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 03:42 PT] RUN | 1943-vol1-42chapters: START local OCR (1943_Vol1_42Chapters.pdf) on 5080 | OK
[2026-06-03 03:49 PT] PUSH | 1943-vol1-42chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 03:49 PT] RUN | 1943-vol1-42chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 03:49 PT] RUN | 1943-vol1-chapters: START local OCR (1943_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 07:17 PT] PUSH | 1943-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 07:17 PT] RUN | 1943-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 07:17 PT] RUN | 1950-vol1-chapters: START local OCR (1950_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 07:41 PT] PUSH | 1950-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 07:41 PT] RUN | 1950-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 07:41 PT] RUN | 1951-vol1-50chapters: START local OCR (1951_Vol1_50Chapters.pdf) on 5080 | OK
[2026-06-03 08:05 PT] WORKER | === 5080 queue worker online (pid 48436, worker_id=5080-1) sharing 5090 queue 100.70.54.56 === | OK
[2026-06-03 08:05 PT] RUN | 1951-vol1-chapters: START local OCR (1951_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 10:48 PT] PUSH | 1951-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 10:48 PT] RUN | 1951-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 10:48 PT] RUN | 1953-vol1-52chapters: START local OCR (1953_Vol1_52Chapters.pdf) on 5080 | OK
[2026-06-03 11:26 PT] PUSH | 1953-vol1-52chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 11:26 PT] RUN | 1953-vol1-52chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 11:26 PT] RUN | 1953-vol1-chapters: START local OCR (1953_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-03 13:35 PT] PUSH | 1953-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 13:35 PT] RUN | 1953-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 13:35 PT] RUN | 1955-vol1-54chapters: START local OCR (1955_Vol1_54Chapters.pdf) on 5080 | OK
[2026-06-03 14:03 PT] PUSH | 1955-vol1-54chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 14:03 PT] RUN | 1955-vol1-54chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 14:03 PT] RUN | 1955-vol1-55chapters: START local OCR (1955_Vol1_55Chapters.pdf) on 5080 | OK
[2026-06-03 16:14 PT] PUSH | 1955-vol1-55chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 16:14 PT] RUN | 1955-vol1-55chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 16:14 PT] RUN | 1957-vol1-56chapters: START local OCR (1957_Vol1_56Chapters.pdf) on 5080 | OK
[2026-06-03 18:48 PT] PUSH | 1957-vol1-56chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 18:48 PT] RUN | 1957-vol1-56chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 18:48 PT] RUN | 1959-vol2-chapters: START local OCR (1959_Vol2_Chapters.pdf) on 5080 | OK
[2026-06-03 23:34 PT] PUSH | 1959-vol2-chapters: OCR outputs pushed to 5090 | OK
[2026-06-03 23:34 PT] RUN | 1959-vol2-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-03 23:34 PT] RUN | 1966-vol1-chapters: START local OCR (1966_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-04 00:57 PT] PUSH | 1966-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-04 00:57 PT] RUN | 1966-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 00:57 PT] RUN | 1967-vol2: START local OCR (1967_Vol2.pdf) on 5080 | OK
[2026-06-04 03:04 PT] PUSH | 1967-vol2: OCR outputs pushed to 5090 | OK
[2026-06-04 03:04 PT] RUN | 1967-vol2: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 03:04 PT] RUN | 1969-vol2-chapters: START local OCR (1969_Vol2_Chapters.pdf) on 5080 | OK
[2026-06-04 07:49 PT] PUSH | 1969-vol2-chapters: OCR outputs pushed to 5090 | OK
[2026-06-04 07:49 PT] RUN | 1969-vol2-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 07:49 PT] RUN | 1973-vol2-chapters: START local OCR (1973_Vol2_Chapters.pdf) on 5080 | OK
[2026-06-04 10:39 PT] PUSH | 1973-vol2-chapters: OCR outputs pushed to 5090 | OK
[2026-06-04 10:39 PT] RUN | 1973-vol2-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 10:39 PT] RUN | 1976-vol1-chapters: START local OCR (1976_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-04 14:35 PT] PUSH | 1976-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-04 14:35 PT] RUN | 1976-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 14:35 PT] RUN | 1978-vol1-chapters: START local OCR (1978_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-04 16:33 PT] PUSH | 1978-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-04 16:33 PT] RUN | 1978-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 16:33 PT] RUN | 1979-vol2: START local OCR (1979_Vol2.pdf) on 5080 | OK
[2026-06-04 18:25 PT] PUSH | 1979-vol2: OCR outputs pushed to 5090 | OK
[2026-06-04 18:25 PT] RUN | 1979-vol2: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 18:25 PT] RUN | 1980-vol3: START local OCR (1980_Vol3.pdf) on 5080 | OK
[2026-06-04 21:53 PT] PUSH | 1980-vol3: OCR outputs pushed to 5090 | OK
[2026-06-04 21:53 PT] RUN | 1980-vol3: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-04 21:53 PT] RUN | 1982-vol3: START local OCR (1982_Vol3.pdf) on 5080 | OK
[2026-06-05 00:59 PT] PUSH | 1982-vol3: OCR outputs pushed to 5090 | OK
[2026-06-05 00:59 PT] RUN | 1982-vol3: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-05 00:59 PT] RUN | 1984-vol1-chapters: START local OCR (1984_Vol1_Chapters.pdf) on 5080 | OK
[2026-06-05 04:42 PT] PUSH | 1984-vol1-chapters: OCR outputs pushed to 5090 | OK
[2026-06-05 04:43 PT] RUN | 1984-vol1-chapters: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-05 04:43 PT] RUN | 1986-vol3: START local OCR (1986_Vol3.pdf) on 5080 | OK
[2026-06-05 06:37 PT] PUSH | 1986-vol3: OCR outputs pushed to 5090 | OK
[2026-06-05 06:37 PT] RUN | 1986-vol3: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-05 06:37 PT] RUN | 1987-vol3: START local OCR (1987_Vol3.pdf) on 5080 | OK

[2026-06-05 09:45 PT] TEST | STAGE 0.5 mojibake detection quality check | OK
[2026-06-05 09:45 PT] FINDING | 1996-1999 Chief Clerk PDFs: MIXED fallback behavior detected
[2026-06-05 09:45 PT] DETAIL | 1996_Vol2: ctrl_ratio=0.471 (>0.20 threshold) -> FALLBACK TRIGGERED
[2026-06-05 09:45 PT] DETAIL | 1997_Vol1: ctrl_ratio=0.000 (<0.20 threshold) -> FALLBACK NOT TRIGGERED (mojibake present)
[2026-06-05 09:45 PT] DETAIL | 1997_Vol2: ctrl_ratio=0.576 (>0.20 threshold) -> FALLBACK TRIGGERED
[2026-06-05 09:45 PT] DETAIL | 1998_Vol1: ctrl_ratio=0.000 (<0.20 threshold) -> FALLBACK NOT TRIGGERED (mojibake present)
[2026-06-05 09:45 PT] DETAIL | 1998_Vol2: ctrl_ratio=0.480 (>0.20 threshold) -> FALLBACK TRIGGERED
[2026-06-05 09:45 PT] DETAIL | 1999_Vol1: ctrl_ratio=0.000 (<0.20 threshold) -> FALLBACK NOT TRIGGERED (mojibake present)
[2026-06-05 09:45 PT] WARN | STAGE 0.5 quality check is INSUFFICIENT: control-char ratio misses mojibake-only files (1997_Vol1, 1998_Vol1, 1999_Vol1) where non_ascii_ratio is only 0.003-0.004
[2026-06-05 09:45 PT] RECOMMENDATION | Use YEAR-BASED CUTOFF (<=1999) instead of ctrl_ratio heuristic for born-digital fallback determination
[2026-06-05 10:15 PT] FIX | cc003: Added _vol_year >= 2000 to DIGITAL_NATIVE condition in ocr_only_5090.py + ocr_only_5080.py | OK
[2026-06-05 10:15 PT] DEPLOY | cc003: ocr_only_5090.py SCP'd to 5090 scratch + verified (vol_year match confirmed) | OK
[2026-06-05 10:15 PT] DEPLOY | cc003: ocr_only_5080.py copied to 5080 scratch + verified (vol_year match confirmed) | OK
[2026-06-05 10:20 PT] ACQUIRE | cc003: leginfo PUBINFO 2017/2019/2021/2023 download resumed (resume_leginfo_pubinfo.py, 600s timeout, PID 53044) | OK
[2026-06-05 10:20 PT] STATUS | Workers: 5090 in 1988 (3 OCR workers, 74% CPU), 5080 in 1987 (1 OCR + prep jobs) | OK
[2026-06-05 08:42 PT] PUSH | 1987-vol3: OCR outputs pushed to 5090 | OK
[2026-06-05 08:42 PT] RUN | 1987-vol3: OCR DONE + pushed + marked done on 5090 | OK
[2026-06-05 08:42 PT] RUN | 1988-vol4-chapters: START local OCR (1988_Vol4_Chapters.pdf) on 5080 | OK
